Date,GW
01/01/2019,49.836
01/02/2019,64.4815
01/03/2019,73.8848
01/04/2019,75.1919
01/05/2019,70.462
01/06/2019,65.3157
01/07/2019,74.8512
01/08/2019,76.9836
01/09/2019,77.5225
01/10/2019,78.4345
01/11/2019,78.9512
01/12/2019,75.2155
01/13/2019,66.7682
01/14/2019,76.7306
01/15/2019,78.3952
01/16/2019,79.0818
01/17/2019,77.9111
01/18/2019,76.3249
01/19/2019,70.6941
01/20/2019,65.8946
01/21/2019,76.5474
01/22/2019,79.3323
01/23/2019,78.6539
01/24/2019,79.2859
01/25/2019,78.5376
01/26/2019,69.7266
01/27/2019,61.47
01/28/2019,69.9591
01/29/2019,71.2772
01/30/2019,72.3486
01/31/2019,73.5671
02/01/2019,72.2214
02/02/2019,68.6082
02/03/2019,65.0305
02/04/2019,76.4166
02/05/2019,69.7019
02/06/2019,78.4892
02/07/2019,78.929
02/08/2019,80.9811
02/09/2019,75.8738
02/10/2019,68.1607
02/11/2019,80.7393
02/12/2019,80.3195
02/13/2019,79.5978
02/14/2019,77.5501
02/15/2019,78.2466
02/16/2019,73.6847
02/17/2019,67.2186
02/18/2019,79.746
02/19/2019,81.0329
02/20/2019,80.8246
02/21/2019,80.2805
02/22/2019,80.4304
02/23/2019,73.7295
02/24/2019,65.2641
02/25/2019,69.3472
02/26/2019,79.7379
02/27/2019,79.6967
02/28/2019,80.2671
03/01/2019,80.8192
03/02/2019,74.963
03/03/2019,71.6097
03/04/2019,87.5991
03/05/2019,87.8852
03/06/2019,89.8721
03/07/2019,92.2175
03/08/2019,90.9019
03/09/2019,83.3561
03/10/2019,75.9144
03/11/2019,89.2001
03/12/2019,93.3647
03/13/2019,93.6124
03/14/2019,92.3057
03/15/2019,92.2232
03/16/2019,83.036
03/17/2019,74.6791
03/18/2019,90.3362
03/19/2019,92.4906
03/20/2019,92.3572
03/21/2019,93.455
03/22/2019,93.361
03/23/2019,85.7689
03/24/2019,75.4041
03/25/2019,89.2929
03/26/2019,91.4165
03/27/2019,93.1333
03/28/2019,95.5017
03/29/2019,96.3508
03/30/2019,87.7392
03/31/2019,77.6376
04/01/2019,92.3684
04/02/2019,93.5442
04/03/2019,94.8121
04/04/2019,94.967
04/05/2019,97.2904
04/06/2019,91.9068
04/07/2019,85.4687
04/08/2019,97.8054
04/09/2019,89.744
04/10/2019,100.2178
04/11/2019,100.2348
04/12/2019,100.2925
04/13/2019,96.9063
04/14/2019,86.8772
04/15/2019,97.8072
04/16/2019,98.7976
04/17/2019,95.5829
04/18/2019,82.48490952
04/19/2019,72.92904048
04/20/2019,82.87815
04/21/2019,80.1364
04/22/2019,101.6372
04/23/2019,101.1456
04/24/2019,102.4623
04/25/2019,101.4618
04/26/2019,102.0286
04/27/2019,92.7126
04/28/2019,84.9625
04/29/2019,100.1286
04/30/2019,102.1637
05/01/2019,91.7278
05/02/2019,104.7264
05/03/2019,103.8855
05/04/2019,95.9824
05/05/2019,87.4308
05/06/2019,99.632
05/07/2019,99.3729
05/08/2019,98.9348
05/09/2019,97.9953
05/10/2019,98.7043
05/11/2019,91.5657
05/12/2019,82.0923
05/13/2019,82.8586
05/14/2019,102.9285
05/15/2019,106.1595
05/16/2019,105.4094
05/17/2019,104.4968
05/18/2019,97.6133
05/19/2019,90.5731
05/20/2019,104.9551
05/21/2019,104.3693
05/22/2019,100.8511
05/23/2019,100.6038
05/24/2019,100.8918
05/25/2019,88.3381
05/26/2019,78.7949
05/27/2019,90.496
05/28/2019,95.2366
05/29/2019,94.8521
05/30/2019,95.7439
05/31/2019,97.8738
06/01/2019,91.3685
06/02/2019,85.8625
06/03/2019,101.9167
06/04/2019,104.8732
06/05/2019,93.5134
06/06/2019,103.1179
06/07/2019,104.498
06/08/2019,97.2285
06/09/2019,89.2943
06/10/2019,100.3679
06/11/2019,102.1767
06/12/2019,90.9487
06/13/2019,102.7377
06/14/2019,100.5526
06/15/2019,89.5292
06/16/2019,82.6161
06/17/2019,100.4577
06/18/2019,103.1648
06/19/2019,103.0164
06/20/2019,104.6256
06/21/2019,103.6384
06/22/2019,96.0696
06/23/2019,87.2271
06/24/2019,97.5519
06/25/2019,97.1971
06/26/2019,96.654
06/27/2019,92.275
06/28/2019,88.5886
06/29/2019,78.8447
06/30/2019,73.7988
07/01/2019,83.6857
07/02/2019,85.4306
07/03/2019,92.702
07/04/2019,96.433
07/05/2019,96.8732
07/06/2019,88.0475
07/07/2019,81.5046
07/08/2019,95.4961
07/09/2019,97.2674
07/10/2019,97.926
07/11/2019,98.3046
07/12/2019,97.086
07/13/2019,89.6093
07/14/2019,79.358
07/15/2019,88.3849
07/16/2019,87.5601
07/17/2019,83.9168
07/18/2019,85.0703
07/19/2019,89.4834
07/20/2019,86.4578
07/21/2019,78.8218
07/22/2019,89.0081
07/23/2019,91.3429
07/24/2019,92.049
07/25/2019,92.812
07/26/2019,91.2165
07/27/2019,82.4962
07/28/2019,70.927
07/29/2019,85.7532
07/30/2019,85.2257
07/31/2019,85.5935
08/01/2019,87.4275
08/02/2019,81.4443
08/03/2019,72.8773
08/04/2019,68.1615
08/05/2019,83.0629
08/06/2019,86.2713
08/07/2019,85.257
08/08/2019,83.1617
08/09/2019,79.3907
08/10/2019,76.0252
08/11/2019,73.5806
08/12/2019,75.9218
08/13/2019,88.394
08/14/2019,91.8335
08/15/2019,90.8007
08/16/2019,91.4338
08/17/2019,86.08215
08/18/2019,79.8955
08/19/2019,91.9244
08/20/2019,94.6628
08/21/2019,82.7091
08/22/2019,86.8228
08/23/2019,85.2813
08/24/2019,75.1206
08/25/2019,69.2544
08/26/2019,71.6392
08/27/2019,80.8276
08/28/2019,85.5476
08/29/2019,86.0493
08/30/2019,85.9819
08/31/2019,78.6026
09/01/2019,70.9086
09/02/2019,83.3367
09/03/2019,81.4299
09/04/2019,87.7944
09/05/2019,90.3784
09/06/2019,91.0018
09/07/2019,84.372
09/08/2019,76.5843
09/09/2019,85.0109
